Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000013cc009c0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_41e6975e2bd6f2b2
0x000000013cc01c10     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\10[1].svg
0x000000013cc024e0      1      1 R--r-d \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742\msvcm90.dll
0x000000013cc02d50      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0x000000013cc03070      1      1 ------ \Device\Afd\Endpoint
0x000000013cc097d0      1      1 R--rwd \Device\HarddiskVolume1\Users\KAB\AppData\Local\Temp\Hnc
0x000000013cc09920     16      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\24[1].svg
0x000000013cc0b2d0     20      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cc0bb20     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\Links\desktop.ini
0x000000013cc0c910     14      0 R--rwd \Device\HarddiskVolume1\Windows\System32\advapi32.dll
0x000000013cc10760     16      0 R--r-- \Device\HarddiskVolume1\Windows\Prefetch\PfSvPerfStats.bin
0x000000013cc11360     10      0 RW---- \Device\HarddiskVolume1\Windows\Prefetch\AgAppLaunch.db
0x000000013cc11ae0     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\8[1].svg
0x000000013cc144a0     17      1 R--r-d \Device\HarddiskVolume1\Windows\System32\ko-KR\crypt32.dll.mui
0x000000013cc16420     20      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cc19a20      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cc1a330      1      1 R--rwd \Device\HarddiskVolume1\Users\KAB\AppData\Local\Temp\Hnc
0x000000013cc1a930     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\24[1].png
0x000000013cc1ad20      4      0 R--r-d \Device\HarddiskVolume1\Program Files (x86)\Hnc\HOffice9\Bin\Hwp\DocFilters\XMLDocGroup.DFT
0x000000013cc1fb80     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\Searches\desktop.ini
0x000000013cc28530      1      1 RW-rw- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\counters.dat
0x000000013cc28810     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\21[1].png
0x000000013cc28bd0     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\Downloads\desktop.ini
0x000000013cc2a430     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\Saved Games\desktop.ini
0x000000013cc2a820      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\ko-KR\ieframe.dll.mui
0x000000013cc2b3a0     15      0 R--rw- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\83XLDW4P\fontawesome-webfont[1].eot
0x000000013cc2df20      5      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\arial.ttf
0x000000013cc2e6c0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.atl_1fc8b3b9a1e18e3b_9.0.30729.4148_none_51ca66a2bbe76806
0x000000013cc2ebb0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0x000000013cc2fe50     11      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\22[1].svg
0x000000013cc32070     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\Videos\desktop.ini
0x000000013cc32390     12      1 R--r-d \Device\HarddiskVolume1\Windows\assembly\GAC_MSIL\mscorlib.resources\2.0.0.0_ko_b77a5c561934e089\mscorlib.Resources.dll
0x000000013cc324e0     33      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cc32b20      2      1 ------ \Device\NamedPipe\MsFteWds
0x000000013cc32dc0     15      0 R--rwd \Device\HarddiskVolume1\Users\KAB\Contacts\desktop.ini
0x000000013cc36380     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\876000aa.blank[2].gif
0x000000013cc3add0      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\imageres.dll.mui
0x000000013cc3d6f0      1      1 ------ \Device\NamedPipe\MsFteWds
0x000000013cc3e070     15      0 R--rw- \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\socket.io[1].js
0x000000013cc3e4e0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\26[1].png
0x000000013cc401f0     16      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cc43070     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\18[1].png
0x000000013cc43830     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\68T73U1O\8[1].png
0x000000013cc43c10      2      1 ------ \Device\Afd\Endpoint
0x000000013cc43f20     11      0 R--r-d \Device\HarddiskVolume1\Windows\SysWOW64\npmproxy.dll
0x000000013cc44cd0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\17[1].png
0x000000013cc44e20     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\7474c31d.fileicons[1].png
0x000000013cc454f0     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\YQ0MYF3J\1bbb05cf.icon-disabled-members-alert[1].png
0x000000013cc45d10     15      0 R--r-d \Device\HarddiskVolume1\Users\KAB\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\MWD2QEXM\3[1].png
